word,code
ace,____a_ce______
ache,____a_che_____
act,____a_ct______
add,____a_dd______
ade,____a_de______
aft,____a_ft______
age,____a_ge______
aid,____aid_______
aide,____aide______
ail,____ail_______
aim,____aim_______
air,____air_______
aisle,____aisle_____
ale,____a_le______
all,____a_ll______
alps,____a_lps_____
and,____a_nd______
angst,____a_ngst____
ant,____a_nt______
ape,____a_pe______
apt,____a_pt______
arc,____a_rc______
arch,____a_rch_____
are,____a_re______
arm,____a_rm______
art,____a_rt______
ash,____a_sh______
ask,____a_sk______
ass,____a_ss______
ate,____a_te______
aunt,____aunt______
awn,____awn_______
axe,____a_xe______
babe,___ba_be______
back,___ba_ck______
bad,___ba_d_______
bade,___ba_de______
badge,___ba_dge_____
bag,___ba_g_______
bail,___bail_______
bait,___bait_______
bakes,___ba_kes_____
bald,___ba_ld______
bale,___ba_le______
ball,___ba_ll______
ban,___ba_n_______
band,___ba_nd______
bang,___ba_ng______
bank,___ba_nk______
bar,___ba_r_______
bard,___ba_rd______
bare,___ba_re______
barge,___ba_rge_____
bark,___ba_rk______
barn,___ba_rn______
barre,___ba_rre_____
bas,___ba_s_______
base,___ba_se______
bash,___ba_sh______
bass,___ba_ss______
bat,___ba_t_______
batch,___ba_tch_____
bath,___ba_th______
bathe,___ba_the_____
bay,___bay________
beach,___beach______
bead,___bead_______
beak,___beak_______
beam,___beam_______
bean,___bean_______
bear,___bear_______
beard,___beard______
beast,___beast______
beat,___beat_______
beau,___beau_______
beck,___be_ck______
bed,___be_d_______
bee,___bee________
beech,___beech______
beef,___beef_______
beek,___beek_______
been,___been_______
beep,___beep_______
beer,___beer_______
beet,___beet_______
beg,___be_g_______
beige,___beige______
belch,___be_lch_____
bell,___be_ll______
belle,___be_lle_____
belt,___be_lt______
bench,___be_nch_____
bend,___be_nd______
bent,___be_nt______
berth,___be_rth_____
best,___be_st______
bet,___be_t_______
bib,___bi_b_______
bid,___bi_d_______
bide,___bi_de______
big,___bi_g_______
bike,___bi_ke______
bile,___bi_le______
bilge,___bi_lge_____
bill,___bi_ll______
bin,___bi_n_______
bind,___bi_nd______
bing,___bi_ng______
binge,___bi_nge_____
birch,___bi_rch_____
bird,___bi_rd______
birth,___bi_rth_____
bit,___bi_t_______
bitch,___bi_tch_____
bite,___bi_te______
black,__bla_ck______
blade,__bla_de______
blame,__bla_me______
blanch,__bla_nch_____
bland,__bla_nd______
blank,__bla_nk______
blast,__bla_st______
blaze,__bla_ze______
bleak,__bleak_______
bleat,__bleat_______
bled,__ble_d_______
bleed,__bleed_______
bleep,__bleep_______
blend,__ble_nd______
bless,__ble_ss______
blest,__ble_st______
blew,__blew________
blight,__bli_ght_____
blimp,__bli_mp______
blind,__bli_nd______
blink,__bli_nk______
bliss,__bli_ss______
blithe,__bli_the_____
blitz,__bli_tz______
bloat,__bloat_______
blob,__blo_b_______
bloc,__blo_c_______
block,__blo_ck______
bloke,__blo_ke______
blond,__blo_nd______
blood,__blood_______
bloom,__bloom_______
blot,__blo_t_______
blouse,__blouse______
blow,__blow________
blown,__blown_______
blue,__blue________
bluff,__blu_ff______
blunt,__blu_nt______
blur,__blu_r_______
blush,__blu_sh______
boar,___boar_______
board,___board______
boast,___boast______
boat,___boat_______
bob,___bo_b_______
bog,___bo_g_______
boil,___boil_______
bold,___bo_ld______
bolt,___bo_lt______
bomb,___bo_mb______
bond,___bo_nd______
bone,___bo_ne______
bong,___bo_ng______
boo,___boo________
book,___book_______
boom,___boom_______
boon,___boon_______
boost,___boost______
boot,___boot_______
booth,___booth______
booze,___booze______
bop,___bo_p_______
bore,___bo_re______
born,___bo_rn______
borne,___bo_rne_____
boss,___bo_ss______
both,___bo_th______
bough,___bough______
bought,___bought_____
bounce,___bounce_____
bound,___bound______
bout,___bout_______
bow,___bow________
bowl,___bowl_______
box,___bo_x_______
boy,___boy________
brace,__bra_ce______
brad,__bra_d_______
brag,__bra_g_______
braid,__braid_______
braille,__braille_____
brain,__brain_______
brake,__bra_ke______
bran,__bra_n_______
branch,__bra_nch_____
brand,__bra_nd______
brash,__bra_sh______
brass,__bra_ss______
brat,__bra_t_______
brave,__bra_ve______
brawl,__brawl_______
brawn,__brawn_______
breach,__breach______
bread,__bread_______
breadth,__breadth_____
break,__break_______
breast,__breast______
breath,__breath______
breathe,__breathe_____
bred,__bre_d_______
breed,__breed_______
breeze,__breeze______
brew,__brew________
bribe,__bri_be______
brick,__bri_ck______
bride,__bri_de______
bridge,__bri_dge_____
brief,__brief_______
brig,__bri_g_______
bright,__bri_ght_____
brim,__bri_m_______
bring,__bri_ng______
brink,__bri_nk______
brisk,__bri_sk______
broach,__broach______
broad,__broad_______
broil,__broil_______
broke,__bro_ke______
bronze,__bro_nze_____
brooch,__brooch______
brood,__brood_______
brook,__brook_______
broom,__broom_______
broth,__bro_th______
brought,__brought_____
brow,__brow________
brown,__brown_______
bruise,__bruise______
brunt,__bru_nt______
brush,__bru_sh______
brute,__bru_te______
buck,___bu_ck______
bud,___bu_d_______
budge,___bu_dge_____
buff,___bu_ff______
bug,___bu_g_______
build,___build______
built,___built______
bulb,___bu_lb______
bulge,___bu_lge_____
bulk,___bu_lk______
bull,___bu_ll______
bum,___bu_m_______
bump,___bu_mp______
bun,___bu_n_______
bunch,___bu_nch_____
bunk,___bu_nk______
bunt,___bu_nt______
burl,___bu_rl______
burn,___bu_rn______
burnt,___bu_rnt_____
burr,___bu_rr______
burst,___bu_rst_____
bus,___bu_s_______
bush,___bu_sh______
buss,___bu_ss______
bust,___bu_st______
but,___bu_t_______
butt,___bu_tt______
butte,___bu_tte_____
buy,___buy________
buzz,___bu_zz______
by,___by_________
bye,___bye________
cab,___ca_b_______
cache,___ca_che_____
cad,___ca_d_______
cage,___ca_ge______
cake,___ca_ke______
calf,___ca_lf______
call,___ca_ll______
calm,___ca_lm______
cam,___ca_m_______
came,___ca_me______
camp,___ca_mp______
can,___ca_n_______
cane,___ca_ne______
cant,___ca_nt______
cap,___ca_p_______
cape,___ca_pe______
car,___ca_r_______
card,___ca_rd______
care,___ca_re______
cart,___ca_rt______
carve,___ca_rve_____
case,___ca_se______
cash,___ca_sh______
cask,___ca_sk______
cast,___ca_st______
caste,___ca_ste_____
cat,___ca_t_______
catch,___ca_tch_____
caught,___caught_____
cause,___cause______
cave,___ca_ve______
cease,___cease______
cell,___ce_ll______
cent,___ce_nt______
chafe,__cha_fe______
chain,__chain_______
chair,__chair_______
chaise,__chaise______
chalk,__cha_lk______
champ,__cha_mp______
chance,__cha_nce_____
change,__cha_nge_____
chant,__cha_nt______
chap,__cha_p_______
char,__cha_r_______
charge,__cha_rge_____
charm,__cha_rm______
chart,__cha_rt______
chase,__cha_se______
chat,__cha_t_______
chaw,__chaw________
cheap,__cheap_______
cheat,__cheat_______
check,__che_ck______
cheek,__cheek_______
cheer,__cheer_______
cheese,__cheese______
chef,__che_f_______
chess,__che_ss______
chest,__che_st______
chew,__chew________
chic,__chi_c_______
chick,__chi_ck______
chide,__chi_de______
chief,__chief_______
child,__chi_ld______
chill,__chi_ll______
chime,__chi_me______
chin,__chi_n_______
chip,__chi_p_______
chive,__chi_ve______
choice,__choice______
choir,__choir_______
choke,__cho_ke______
chomp,__cho_mp______
choose,__choose______
chop,__cho_p_______
chord,__cho_rd______
chore,__cho_re______
chose,__cho_se______
chow,__chow________
christ,_chri_st______
chrome,_chro_me______
chuck,__chu_ck______
chum,__chu_m_______
chump,__chu_mp______
chunk,__chu_nk______
church,__chu_rch_____
churn,__chu_rn______
chute,__chu_te______
cinch,___ci_nch_____
cite,___ci_te______
clad,__cla_d_______
claim,__claim_______
clam,__cla_m_______
clamp,__cla_mp______
clan,__cla_n_______
clang,__cla_ng______
clap,__cla_p_______
clash,__cla_sh______
class,__cla_ss______
clause,__clause______
claw,__claw________
clay,__clay________
clean,__clean_______
clear,__clear_______
cleat,__cleat_______
cleft,__cle_ft______
clench,__cle_nch_____
clerk,__cle_rk______
click,__cli_ck______
cliff,__cli_ff______
climb,__cli_mb______
clinch,__cli_nch_____
cling,__cli_ng______
clip,__cli_p_______
cloak,__cloak_______
clock,__clo_ck______
clod,__clo_d_______
clog,__clo_g_______
close,__clo_se______
clot,__clo_t_______
cloth,__clo_th______
clothe,__clo_the_____
clots,__clo_ts______
cloud,__cloud_______
clout,__clout_______
clove,__clo_ve______
clown,__clown_______
club,__clu_b_______
cluck,__clu_ck______
clue,__clue________
clump,__clu_mp______
clung,__clu_ng______
clutch,__clu_tch_____
coach,___coach______
coal,___coal_______
coarse,___coarse_____
coast,___coast______
coat,___coat_______
coax,___coax_______
cock,___co_ck______
cod,___co_d_______
code,___co_de______
coil,___coil_______
coin,___coin_______
coke,___co_ke______
cold,___co_ld______
cole,___co_le______
colt,___co_lt______
comb,___co_mb______
come,___co_me______
cone,___co_ne______
cook,___cook_______
cool,___cool_______
coop,___coop_______
cop,___co_p_______
cope,___co_pe______
cord,___co_rd______
core,___co_re______
cork,___co_rk______
corn,___co_rn______
corps,___co_rps_____
corpse,___co_rpse____
cost,___co_st______
cot,___co_t_______
couch,___couch______
cough,___cough______
could,___could______
count,___count______
coup,___coup_______
coupe,___coupe______
course,___course_____
court,___court______
cove,___co_ve______
cow,___cow________
cowl,___cowl_______
cox,___co_x_______
coy,___coy________
crab,__cra_b_______
crack,__cra_ck______
craft,__cra_ft______
crag,__cra_g_______
cram,__cra_m_______
cramp,__cra_mp______
crane,__cra_ne______
crank,__cra_nk______
crap,__cra_p_______
crash,__cra_sh______
crass,__cra_ss______
crate,__cra_te______
crave,__cra_ve______
crawl,__crawl_______
craze,__cra_ze______
creak,__creak_______
cream,__cream_______
crease,__crease______
creche,__cre_che_____
creed,__creed_______
creek,__creek_______
creep,__creep_______
crepe,__cre_pe______
crept,__cre_pt______
crest,__cre_st______
crew,__crew________
crib,__cri_b_______
crime,__cri_me______
crisp,__cri_sp______
croak,__croak_______
crone,__cro_ne______
crook,__crook_______
croon,__croon_______
crop,__cro_p_______
cross,__cro_ss______
crouch,__crouch______
crow,__crow________
crowd,__crowd_______
crown,__crown_______
crude,__cru_de______
cruise,__cruise______
crumb,__cru_mb______
crunch,__cru_nch_____
crush,__cru_sh______
crust,__cru_st______
crutch,__cru_tch_____
crux,__cru_x_______
cry,__cry_________
crypt,__cry_pt______
cub,___cu_b_______
cube,___cu_be______
cud,___cu_d_______
cue,___cue________
cuff,___cu_ff______
cull,___cu_ll______
cult,___cu_lt______
cup,___cu_p_______
cur,___cu_r_______
curb,___cu_rb______
curd,___cu_rd______
cure,___cu_re______
curl,___cu_rl______
curse,___cu_rse_____
curt,___cu_rt______
curve,___cu_rve_____
cusp,___cu_sp______
cut,___cu_t_______
cute,___cu_te______
cyst,___cy_st______
czar,__cza_r_______
dad,___da_d_______
dale,___da_le______
dam,___da_m_______
dame,___da_me______
damn,___da_mn______
damp,___da_mp______
dance,___da_nce_____
dang,___da_ng______
dank,___da_nk______
dare,___da_re______
dark,___da_rk______
darn,___da_rn______
dash,___da_sh______
date,___da_te______
daunt,___daunt______
dawn,___dawn_______
days,___days_______
dead,___dead_______
deaf,___deaf_______
deal,___deal_______
dealt,___dealt______
dean,___dean_______
dear,___dear_______
dearth,___dearth_____
death,___death______
debt,___de_bt______
deck,___de_ck______
deed,___deed_______
deem,___deem_______
deep,___deep_______
deer,___deer_______
deft,___de_ft______
dell,___de_ll______
den,___de_n_______
dense,___de_nse_____
dent,___de_nt______
depth,___de_pth_____
desk,___de_sk______
dial,___dial_______
dice,___di_ce______
dick,___di_ck______
did,___di_d_______
die,___die________
dig,___di_g_______
dike,___di_ke______
dill,___di_ll______
dim,___di_m_______
dime,___di_me______
din,___di_n_______
dine,___di_ne______
dint,___di_nt______
dip,___di_p_______
dire,___di_re______
dirge,___di_rge_____
dirt,___di_rt______
disc,___di_sc______
dish,___di_sh______
disk,___di_sk______
ditch,___di_tch_____
dive,___di_ve______
do,___do_________
dock,___do_ck______
dodge,___do_dge_____
doe,___doe________
does,___does_______
dog,___do_g_______
dole,___do_le______
doll,___do_ll______
dome,___do_me______
done,___do_ne______
doom,___doom_______
door,___door_______
dope,___do_pe______
dork,___do_rk______
dorm,___do_rm______
dose,___do_se______
dost,___do_st______
dots,___do_ts______
doubt,___doubt______
dough,___dough______
dour,___dour_______
douse,___douse______
dove,___do_ve______
dow,___dow________
down,___down_______
drab,__dra_b_______
draft,__dra_ft______
drag,__dra_g_______
drain,__drain_______
drake,__dra_ke______
dram,__dra_m_______
drank,__dra_nk______
drape,__dra_pe______
draught,__draught_____
draw,__draw________
drawl,__drawl_______
drawn,__drawn_______
dread,__dread_______
dream,__dream_______
dreamt,__dreamt______
dress,__dre_ss______
drew,__drew________
drift,__dri_ft______
drill,__dri_ll______
drink,__dri_nk______
drip,__dri_p_______
drive,__dri_ve______
drone,__dro_ne______
droop,__droop_______
drop,__dro_p_______
dross,__dro_ss______
drought,__drought_____
drove,__dro_ve______
drown,__drown_______
drugs,__dru_gs______
drum,__dru_m_______
drunk,__dru_nk______
dry,__dry_________
duck,___du_ck______
duct,___du_ct______
dud,___du_d_______
due,___due________
duel,___duel_______
dug,___du_g_______
duke,___du_ke______
dull,___du_ll______
dumb,___du_mb______
dump,___du_mp______
dun,___du_n_______
dune,___du_ne______
dung,___du_ng______
dunk,___du_nk______
dusk,___du_sk______
dust,___du_st______
dwarf,__dwa_rf______
dwell,__dwe_ll______
dwelt,__dwe_lt______
dyke,___dy_ke______
each,____each______
ear,____ear_______
earl,____earl______
earn,____earn______
earth,____earth_____
ease,____ease______
east,____east______
eat,____eat_______
eave,____eave______
ebb,____e_bb______
edge,____e_dge_____
eel,____eel_______
egg,____e_gg______
eight,____eight_____
eighth,____eighth____
elk,____e_lk______
elm,____e_lm______
else,____e_lse_____
end,____e_nd______
err,____e_rr______
eve,____e_ve______
ewe,____ewe_______
face,___fa_ce______
fact,___fa_ct______
fad,___fa_d_______
fade,___fa_de______
fail,___fail_______
faint,___faint______
fair,___fair_______
faith,___faith______
fake,___fa_ke______
fall,___fa_ll______
false,___fa_lse_____
fame,___fa_me______
fan,___fa_n_______
fang,___fa_ng______
far,___fa_r_______
farce,___fa_rce_____
fare,___fa_re______
farm,___fa_rm______
fast,___fa_st______
fat,___fa_t_______
fate,___fa_te______
fault,___fault______
fawn,___fawn_______
fay,___fay________
faze,___fa_ze______
fear,___fear_______
feast,___feast______
feat,___feat_______
fed,___fe_d_______
fee,___fee________
feed,___feed_______
feel,___feel_______
feet,___feet_______
feint,___feint______
fell,___fe_ll______
felt,___fe_lt______
fen,___fe_n_______
fence,___fe_nce_____
fern,___fe_rn______
fetch,___fe_tch_____
fete,___fe_te______
feud,___feud_______
few,___few________
fiche,___fi_che_____
fiend,___fiend______
fierce,___fierce_____
fife,___fi_fe______
fifth,___fi_fth_____
fig,___fi_g_______
fight,___fi_ght_____
file,___fi_le______
fill,___fi_ll______
film,___fi_lm______
filth,___fi_lth_____
fin,___fi_n_______
find,___fi_nd______
fine,___fi_ne______
fink,___fi_nk______
fir,___fi_r_______
fire,___fi_re______
firm,___fi_rm______
first,___fi_rst_____
fish,___fi_sh______
fist,___fi_st______
fit,___fi_t_______
five,___fi_ve______
fix,___fi_x_______
fixed,___fi_xed_____
flag,__fla_g_______
flail,__flail_______
flair,__flair_______
flake,__fla_ke______
flame,__fla_me______
flange,__fla_nge_____
flank,__fla_nk______
flare,__fla_re______
flask,__fla_sk______
flat,__fla_t_______
flaw,__flaw________
flax,__fla_x_______
flays,__flays_______
flea,__flea________
fleck,__fle_ck______
fled,__fle_d_______
flee,__flee________
fleet,__fleet_______
flesh,__fle_sh______
flew,__flew________
flex,__fle_x_______
flick,__fli_ck______
flight,__fli_ght_____
fling,__fli_ng______
flint,__fli_nt______
flip,__fli_p_______
flirt,__fli_rt______
float,__float_______
flock,__flo_ck______
floe,__floe________
flog,__flo_g_______
flood,__flood_______
floor,__floor_______
flop,__flo_p_______
flour,__flour_______
flow,__flow________
flown,__flown_______
flu,__flu_________
fluff,__flu_ff______
fluke,__flu_ke______
flung,__flu_ng______
flush,__flu_sh______
flute,__flu_te______
flux,__flu_x_______
fly,__fly_________
foal,___foal_______
foam,___foam_______
foe,___foe________
fog,___fo_g_______
foil,___foil_______
foist,___foist______
fold,___fo_ld______
folk,___fo_lk______
fond,___fo_nd______
font,___fo_nt______
food,___food_______
fool,___fool_______
foot,___foot_______
for,___fo_r_______
force,___fo_rce_____
ford,___fo_rd______
fore,___fo_re______
forge,___fo_rge_____
fork,___fo_rk______
form,___fo_rm______
fort,___fo_rt______
forth,___fo_rth_____
fought,___fought_____
foul,___foul_______
found,___found______
four,___four_______
fourth,___fourth_____
fowl,___fowl_______
fox,___fo_x_______
frail,__frail_______
frame,__fra_me______
frank,__fra_nk______
frappe,__fra_ppe_____
fraud,__fraud_______
fray,__fray________
freak,__freak_______
free,__free________
freed,__freed_______
freeze,__freeze______
freight,__freight_____
french,__fre_nch_____
fresh,__fre_sh______
fret,__fre_t_______
friend,__friend______
frieze,__frieze______
fright,__fri_ght_____
frill,__fri_ll______
fringe,__fri_nge_____
frock,__fro_ck______
frog,__fro_g_______
from,__fro_m_______
front,__fro_nt______
frost,__fro_st______
froth,__fro_th______
frown,__frown_______
froze,__fro_ze______
fruit,__fruit_______
fry,__fry_________
fuck,___fu_ck______
fuel,___fuel_______
full,___fu_ll______
fun,___fu_n_______
fund,___fu_nd______
funk,___fu_nk______
fur,___fu_r_______
fuse,___fu_se______
fuss,___fu_ss______
fuzz,___fu_zz______
gab,___ga_b_______
gag,___ga_g_______
gage,___ga_ge______
gain,___gain_______
gait,___gait_______
gal,___ga_l_______
gale,___ga_le______
gall,___ga_ll______
game,___ga_me______
gang,___ga_ng______
gap,___ga_p_______
garb,___ga_rb______
gas,___ga_s_______
gash,___ga_sh______
gasp,___ga_sp______
gate,___ga_te______
gauche,___gauche_____
gauge,___gauge______
gaunt,___gaunt______
gauze,___gauze______
gave,___ga_ve______
gay,___gay________
gaze,___ga_ze______
gear,___gear_______
gee,___gee________
geese,___geese______
gel,___ge_l_______
gem,___ge_m_______
gene,___ge_ne______
germs,___ge_rms_____
get,___ge_t_______
ghost,__gho_st______
ghoul,__ghoul_______
gibe,___gi_be______
gift,___gi_ft______
gig,___gi_g_______
gill,___gi_ll______
gilt,___gi_lt______
gin,___gi_n_______
gird,___gi_rd______
girl,___gi_rl______
girth,___gi_rth_____
gist,___gi_st______
git,___gi_t_______
give,___gi_ve______
glad,__gla_d_______
glance,__gla_nce_____
gland,__gla_nd______
glare,__gla_re______
glass,__gla_ss______
glaze,__gla_ze______
gleam,__gleam_______
glean,__glean_______
glee,__glee________
glen,__gle_n_______
glib,__gli_b_______
glide,__gli_de______
glimpse,__gli_mpse____
glint,__gli_nt______
glitch,__gli_tch_____
gloat,__gloat_______
globe,__glo_be______
gloom,__gloom_______
gloss,__glo_ss______
glove,__glo_ve______
glow,__glow________
glue,__glue________
glum,__glu_m_______
gnaw,__gnaw________
gnome,__gno_me______
go,___go_________
goad,___goad_______
goal,___goal_______
goat,___goat_______
gob,___go_b_______
god,___go_d_______
goes,___goes_______
gold,___go_ld______
golf,___go_lf______
gone,___go_ne______
gong,___go_ng______
good,___good_______
goon,___goon_______
goose,___goose______
gore,___go_re______
gorge,___go_rge_____
gosh,___go_sh______
got,___go_t_______
gouge,___gouge______
gourd,___gourd______
