,source,word,freq_lcnl,aoa_mean,aoa_sd,tasa_1,tasa_2,tasa_3
4420,3k,mom,67,2.22,1.22,725,375,184
8541,3k,yes,103,2.310598,1.68,1002,601,456
4752,3k,ouch,3,2.417168,1.34,14,6,4
8234,3k,wet,37,2.47,1.35,218,127,106
6816,3k,spoon,14,2.5,0.79,19,12,12
4553,3k,nap,23,2.53,0.77,54,22,8
1593,3k,dad,49,2.58,1.17,731,292,173
3396,3k,hug,45,2.58,0.96,48,23,9
6189,3k,shoe,37,2.6,1.19,45,34,27
1372,3k,count,17,2.61,0.98,92,57,57
4534,lcnl,my,1152,2.715564,1.44,4702,3178,2715
4636,3k,no,534,2.715564,1.94,2612,2188,2165
3107,3k,hand,65,2.74,1.24,434,501,519
1530,3k,cry,44,2.78,1.66,187,147,89
2026,3k,eat,150,2.78,1.48,1051,585,499
6544,3k,snack,13,2.78,1.22,13,13,6
128,3k,bad,78,2.79,1.27,421,301,236
6409,3k,sleep,113,2.79,1.03,477,288,213
1786,3k,dog,211,2.8,1.2,1241,566,397
3627,3k,jump,31,2.84,1.3,406,110,71
87,3k,ask,65,2.89,1.37,339,309,266
264,3k,bed,165,2.89,1.41,675,405,316
330,3k,big,383,2.89,1.08,2826,1342,969
7079,3k,stop,114,2.89,1.6,800,408,348
2,lcnl,a,4838,2.893384,1.21,21811,19884,23168
156,3k,ball,70,2.9,1.22,587,304,248
7954,lcnl,up,886,2.918047,1.68,4654,3827,3805
6632,3k,sock,2,2.94,1.39,13,13,3
4663,3k,nose,84,2.95,1.15,181,123,123
3936,3k,leg,25,3,1.5,118,114,83
4579,3k,neck,19,3,1.25,65,87,85
7664,3k,toe,13,3,1.08,7,13,12
7739,3k,toy,45,3,1.15,105,48,27
1812,3k,door,155,3.05,1.15,818,782,668
2413,3k,fly,85,3.05,1.18,396,182,110
6015,3k,see,382,3.06,1.43,3548,2167,2099
1228,lcnl,clothes,50,3.11,1.41,155,192,179
4223,3k,man,185,3.11,1.24,1981,1314,977
3839,3k,lap,6,3.15,1.18,23,39,29
3375,3k,house,310,3.16,1.07,1821,1217,1032
2690,3k,get,331,3.17,1.29,3482,2259,1973
3090,3k,hair,68,3.17,1.76,214,246,228
6623,3k,soap,10,3.17,1.1,35,25,24
5654,3k,rock,49,3.22,1.17,287,163,140
6502,3k,small,126,3.22,1.52,452,546,623
4625,3k,nine,38,3.2271,1.3,53,60,57
4736,3k,one,682,3.2271,1.31,3476,3331,3711
4817,3k,pants,17,3.2271,1.75,54,29,27
222,3k,bath,32,3.23,1.56,26,31,24
5774,3k,sad,60,3.24,2.21,274,147,84
2249,3k,fire,74,3.25,1.16,290,394,318
2441,3k,food,69,3.25,1.21,454,529,663
75,3k,arm,13,3.26,1.56,180,189,161
850,3k,cake,50,3.26,2.28,259,68,40
1920,3k,drop,7,3.26,1.33,63,59,47
4746,lcnl,orange,31,3.26,1.15,49,49,41
2177,3k,fell,83,3.280385,1.2,294,238,186
4290,3k,me,757,3.280385,1.5,4027,2813,2606
4758,3k,out,694,3.280385,1.56,3825,3455,3520
1308,3k,come,287,3.32,1.42,2052,1374,1231
3138,3k,hat,120,3.33,1.14,369,140,97
885,3k,car,122,3.37,1.95,741,492,370
2808,3k,go,547,3.37,1.46,3313,2054,1710
3368,3k,hot,75,3.37,1.77,449,281,252
4352,3k,milk,57,3.37,1.42,162,153,127
1134,3k,clap,14,3.4,1.73,26,5,8
7229,3k,sun,95,3.4,1.64,573,430,418
250,3k,bean,6,3.42,1.12,21,24,17
3168,3k,head,145,3.42,1.02,643,698,703
5830,3k,say,212,3.42,1.07,955,862,805
3263,3k,him,555,3.429583,1.21,2780,2891,3176
950,3k,chair,24,3.43,1.33,108,130,133
2446,3k,foot,38,3.44,1.38,152,134,140
7858,3k,try,78,3.44,2.15,370,362,347
2084,lcnl,eyes,111,3.443482,1.36,487,652,712
8110,3k,walk,79,3.45,2.04,485,351,281
1901,3k,drink,29,3.47,1.31,181,126,96
3259,3k,hill,66,3.47,1.47,252,182,134
6296,3k,sing,55,3.47,1.31,126,71,58
6315,3k,sit,73,3.47,2.25,376,230,166
5056,3k,please,135,3.482868,1.22,286,207,159
1647,lcnl,day,376,3.5,1.58,1977,1582,1439
1952,3k,duck,72,3.5,1.64,390,50,20
6515,3k,smile,26,3.51,1.72,104,118,100
350,3k,bird,112,3.52,1.66,540,167,118
463,3k,blue,144,3.53,1.68,369,202,216
6178,3k,shirt,15,3.53,1.12,61,64,51
7478,lcnl,thanks,17,3.53,1.35,85,70,47
8406,lcnl,woof,33,3.53,1.87,30,6,0
2829,3k,good,366,3.55,1.61,1989,1342,1322
4193,3k,mad,16,3.55,1.5,154,93,59
368,3k,black,98,3.56,1.92,261,293,309
4583,3k,need,64,3.56,1.34,733,546,562
6727,3k,speak,22,3.56,1.38,50,107,132
6113,3k,she,1446,3.568124,1.39,8129,7181,6654
1552,3k,cup,36,3.57,1.99,41,55,43
2524,3k,friend,105,3.57,1.43,427,343,276
7780,3k,tree,206,3.57,1.61,807,501,358
7446,3k,ten,50,3.578781,1.49,200,184,168
252,3k,bear,197,3.58,1.68,902,320,165
359,3k,bite,24,3.58,1.3,54,46,43
639,3k,bread,58,3.58,1.61,142,102,83
1268,3k,coat,25,3.58,1.22,120,82,83
3684,3k,key,14,3.58,1.54,115,65,46
4483,3k,mouth,65,3.58,1.43,127,178,195
1770,3k,do,693,3.6,1.6,4560,3284,3113
5445,3k,rain,83,3.6,1.27,361,227,185
3721,3k,kiss,45,3.61,2.25,23,13,10
4147,3k,lunch,50,3.61,1.69,407,167,91
4618,3k,night,274,3.61,1.88,716,718,653
7700,3k,tooth,18,3.61,1.09,63,59,23
1231,3k,cloud,12,3.63,1.57,94,47,30
2014,3k,ear,32,3.63,1.92,28,74,70
2460,3k,fork,5,3.63,1.86,13,13,10
2559,3k,fruit,16,3.63,1.71,32,48,50
3215,3k,help,153,3.65,1.79,1631,917,754
582,3k,boy,129,3.67,1.88,952,675,614
2580,3k,fun,79,3.67,0.97,629,241,159
4960,3k,pie,41,3.67,1.64,31,22,20
6780,3k,splash,24,3.67,2.35,36,21,10
7024,lcnl,steps,9,3.67,1.41,139,162,131
529,3k,book,82,3.68,1.8,641,317,309
914,3k,cat,245,3.68,1.52,904,215,162
1793,3k,doll,2,3.68,1.34,61,30,27
4549,3k,name,112,3.68,1.53,635,533,469
5518,3k,red,181,3.68,1.63,892,372,316
7365,3k,talk,44,3.68,1.73,460,372,300
3276,3k,his,1313,3.685351,1.29,5402,6097,6917
3468,lcnl,in,2111,3.685351,1.86,10423,11031,14289
3983,3k,like,572,3.685351,1.89,3487,2649,2660
7545,3k,three,155,3.685351,1.5,578,532,576
7353,3k,tail,50,3.7,1.13,177,184,127
1238,3k,clown,12,3.72,1.93,41,20,10
3154,3k,have,638,3.72,1.96,4736,3798,4251
4731,3k,old,326,3.72,1.36,1100,1121,1050
5345,3k,put,206,3.72,2.3,1936,1267,973
5580,3k,rice,13,3.72,1.41,19,37,31
6676,3k,sound,59,3.72,1.53,208,338,343
820,3k,butt,5,3.73,1.86,0,3,3
78,lcnl,arms,28,3.738636,2.14,110,150,166
2135,3k,fast,111,3.738636,1.33,610,347,221
3231,3k,here,282,3.738636,1.94,2267,1324,1140
1366,3k,couch,2,3.74,1.85,1,12,11
1626,3k,dark,83,3.74,1.37,324,340,310
2082,lcnl,eye,23,3.75,1.71,49,118,131
2089,3k,face,61,3.75,2.2,376,435,483
3969,3k,lie,14,3.75,0.91,35,57,55
8618,3k,zoo,25,3.75,1.12,88,40,26
741,3k,brush,29,3.78,1.59,68,39,45
6651,3k,son,18,3.78,1.26,124,144,162
525,3k,boo,4,3.781264,2.29,15,8,0
4450,3k,more,260,3.781264,2.04,902,1159,1474
759,3k,bug,6,3.79,1.72,107,26,9
2919,3k,green,141,3.79,1.32,523,276,236
3870,3k,laugh,14,3.79,1.51,163,126,78
4010,3k,lip,4,3.79,1.13,4,11,13
5855,lcnl,scared,25,3.79,1.47,141,118,73
7476,3k,thank,76,3.79,1.72,248,115,73
7841,3k,truck,119,3.79,1.47,308,158,85
8113,3k,wall,27,3.79,1.75,109,160,170
8376,3k,wish,84,3.79,0.92,366,200,145
100,3k,aunt,11,3.8,1.61,147,179,144
3178,3k,hear,115,3.8,1.64,482,457,373
4990,3k,pink,31,3.8,1.61,20,43,40
3166,lcnl,he,2627,3.813235,1.41,14660,13284,13114
8307,3k,who,337,3.813235,1.41,1086,1133,1457
1756,3k,dirt,24,3.83,1.15,103,81,66
8532,3k,yell,10,3.83,1.5,39,26,18
4720,3k,off,225,3.834549,2.09,862,1001,1023
487,3k,boat,47,3.84,1.46,379,207,132
4969,3k,pig,57,3.84,2.03,310,97,46
5045,3k,plate,19,3.84,1.26,16,50,25
6765,3k,spill,1,3.84,1.64,5,5,4
6940,3k,stair,3,3.84,1.61,2,2,2
809,3k,bus,96,3.85,1.57,349,228,132
2130,3k,farm,15,3.85,1.5,161,138,122
8246,3k,what,679,3.855863,1.37,4928,3885,3879
3450,3k,ice,51,3.86,1.06,127,156,160
3695,lcnl,kids,32,3.861149,1.2,211,178,152
3323,3k,home,268,3.86652,1.88,1677,1094,939
4668,3k,not,830,3.887834,2.22,5662,3814,4116
288,3k,bell,48,3.89,1.68,248,108,80
1155,3k,clean,41,3.89,1.49,258,163,134
1428,3k,crawl,6,3.89,1.23,17,12,16
2043,3k,egg,38,3.89,1.85,133,90,53
5881,3k,school,127,3.89,1.37,1065,866,777
6964,3k,star,36,3.89,1.59,85,93,80
7032,3k,stick,37,3.89,1.57,163,128,112
7703,3k,top,104,3.89,1.53,394,368,326
8357,3k,wind,68,3.89,1.37,317,238,246
8420,3k,worm,4,3.89,1.37,40,19,12
34,3k,air,71,3.94,1.55,314,415,516
1384,3k,cow,59,3.94,1.63,154,66,48
2896,3k,grass,66,3.94,1.55,232,186,175
8507,3k,yard,21,3.94,1.7,134,140,105
1298,3k,cold,86,3.95,1.79,394,322,365
4608,3k,nice,85,3.95,1.51,333,232,170
4865,3k,pea,15,3.95,1.68,15,10,6
5039,3k,plant,3,3.95,1.65,216,124,108
6206,unl,shorts,7,3.95,1.13,6,3,4
6637,3k,soft,40,3.95,1.5,107,126,138
7864,3k,tub,5,3.95,1.64,31,10,18
7657,lcnl,to,3956,3.951776,1.39,24061,22273,24829
8325,3k,why,157,3.97309,2.11,1218,1084,927
7485,3k,the,9565,3.983747,2.33,50950,48534,57939
458,3k,blow,23,4,1.76,110,61,49
2725,3k,girl,80,4,1.89,643,401,356
3431,3k,hurt,22,4,1.45,213,214,160
3826,3k,lamp,5,4,2.08,18,26,28
4296,3k,mean,43,4,1.68,330,377,282
4315,cdi,meow,14,4,2.5,5,5,1
4874,3k,pear,3,4,1.7,0,1,2
6529,3k,smoke,16,4,1.5,52,101,91
7754,3k,train,155,4,1.71,222,127,95
8150,3k,wash,25,4,1.59,63,58,53
4734,lcnl,on,1441,4.005061,1.28,6973,6540,7316
93,lcnl,at,799,4.037032,1.37,5635,5090,5491
1017,3k,chew,15,4.05,1.51,7,11,12
1891,3k,dress,26,4.05,1.61,70,67,71
2259,3k,fish,115,4.05,1.61,908,366,237
3981,3k,light,61,4.05,1.99,356,353,454
4077,3k,look,223,4.05,1.68,2541,1488,1416
4498,3k,mud,20,4.05,1.61,81,86,61
4934,3k,pet,26,4.05,1.87,277,106,62
6263,3k,sick,27,4.05,2.09,232,170,145
3690,3k,kick,4,4.06,1.73,20,19,20
8300,3k,white,89,4.06,1.66,360,377,403
312,3k,best,105,4.090317,1.66,395,372,339
8263,3k,where,309,4.090317,2.06,1477,1177,1308
3104,3k,ham,13,4.1,1.48,47,14,9
5049,3k,play,126,4.1,2.59,1169,470,322
8570,3k,your,510,4.100974,1.92,2554,2406,2815
649,3k,breathe,1,4.11,1.88,30,37,39
1871,3k,draw,13,4.11,1.13,134,69,72
1946,3k,dry,26,4.11,1.33,137,133,170
3060,3k,guy,10,4.11,1.91,25,51,38
4950,3k,phone,13,4.11,1.49,90,90,69
5502,3k,read,86,4.11,1.68,529,494,520
5685,lcnl,rooms,3,4.11,1.56,41,40,39
6607,3k,snow,124,4.11,2.31,236,211,229
6881,3k,square,38,4.11,1.18,16,31,48
7020,3k,step,34,4.11,1.37,80,80,71
7719,3k,toss,2,4.11,1.45,9,4,9
7891,3k,turn,67,4.11,1.73,224,294,307
7573,3k,throw,26,4.14,1.46,84,77,72
4745,lcnl,or,311,4.143602,1.25,931,1553,2536
3361,3k,horse,37,4.15,1.46,246,233,232
3755,3k,knife,6,4.15,1.8,20,46,42
3821,3k,lamb,8,4.15,1.81,24,16,14
6474,3k,slow,65,4.15,1.76,105,81,77
7306,3k,swing,14,4.16,2.03,19,24,22
8128,3k,want,169,4.16,2.32,2034,1248,985
1292,3k,coin,4,4.17,1.25,8,10,10
2166,3k,feed,13,4.17,1.58,86,75,65
6369,3k,sky,104,4.17,1.89,404,254,205
6572,lcnl,sneeze,24,4.17,1.58,2,2,3
7303,3k,swim,22,4.17,1.72,237,115,75
7962,lcnl,us,177,4.18623,2.07,997,883,909
1727,3k,dig,33,4.19,2.34,108,52,45
728,3k,brown,77,4.196887,1.31,264,162,151
5941,3k,scream,8,4.2,1.58,11,20,16
7287,3k,sweep,5,4.2,1.61,1,8,13
295,3k,bench,1,4.21,1.81,55,30,29
4867,3k,peach,8,4.21,1.27,7,15,8
1037,3k,chin,16,4.22,4.1,26,24,28
1322,3k,cook,15,4.22,1.31,161,76,53
5555,3k,rest,49,4.22,2.53,199,221,235
5683,3k,room,97,4.22,1.44,849,710,718
5854,3k,scare,4,4.22,1.26,35,21,10
6511,3k,smell,36,4.22,1.44,112,113,94
6941,lcnl,stairs,36,4.22,1.86,93,95,75
6988,3k,stay,36,4.22,2.21,438,348,301
7115,3k,straw,11,4.22,1.26,38,47,35
7811,3k,trip,22,4.22,1.9,117,120,120
8353,3k,win,13,4.22,1.31,138,88,65
8476,3k,wrong,32,4.22,1.48,158,191,168
45,3k,all,1080,4.239515,1.4,3931,3788,3965
4072,3k,long,229,4.239515,1.83,966,1098,1146
4367,3k,mine,39,4.239515,2.42,116,104,93
7936,3k,two,236,4.239515,2.06,1053,1180,1369
8261,3k,when,675,4.239515,1.8,2676,3114,3651
2576,3k,full,71,4.24,1.61,92,167,192
6130,3k,sheep,62,4.25,1.52,192,84,76
575,3k,bowl,14,4.26,2.28,59,64,38
963,3k,change,21,4.26,1.66,137,214,217
1579,3k,cute,6,4.26,1.45,6,18,11
2624,3k,game,18,4.26,1.82,337,201,161
4788,3k,pain,4,4.26,1.52,31,52,57
5342,3k,push,13,4.26,1.85,91,84,58
6306,3k,sip,2,4.26,1.37,5,2,3
6652,3k,song,53,4.26,1.73,58,56,52
7399,3k,taste,22,4.26,1.76,42,39,50
7440,3k,tell,156,4.26,2.05,1243,1107,962
8163,3k,wave,7,4.26,1.59,16,27,35
131,3k,bag,38,4.28,1.56,252,170,124
404,3k,bleed,1,4.28,1.56,1,1,1
2065,3k,end,93,4.28,2.61,296,327,384
2733,3k,give,103,4.28,1.93,570,523,477
3693,3k,kid,19,4.28,1.56,107,109,74
4324,3k,mess,19,4.28,1.45,72,45,23
580,3k,box,86,4.3,1.66,653,267,174
2777,3k,glove,4,4.3,1.63,6,14,7
3964,3k,lick,4,4.3,1.53,14,10,7
8098,3k,wait,78,4.3,1.89,424,321,203
59,3k,ant,2,4.32,1.57,114,27,13
869,3k,can,507,4.32,2.26,5068,2608,2656
1368,3k,cough,4,4.32,2.11,1,4,7
2543,3k,frog,117,4.32,1.45,876,101,28
6205,3k,short,27,4.32,1.73,94,142,164
6278,3k,sign,28,4.32,1.45,247,133,120
7092,3k,stove,3,4.32,1.86,25,37,48
1005,3k,cheese,37,4.33,1.75,32,31,32
1826,lcnl,dot,23,4.33,1.41,59,12,7
8157,3k,watch,57,4.33,1.61,284,294,258
2817,3k,god,25,4.346085,2.38,27,47,58
3858,3k,last,119,4.346085,1.83,632,675,653
4185,lcnl,ma,48,4.346085,2.74,15,80,84
4605,3k,next,144,4.346085,1.86,972,841,688
4755,3k,our,209,4.346085,1.53,621,709,909
5598,3k,right,257,4.346085,1.59,1499,1410,1229
8565,3k,you,2280,4.346085,1.88,15472,11867,12090
777,3k,bump,40,4.35,1.6,67,41,14
7606,cdi,tickle,29,4.35,2.6,10,3,1
6974,3k,start,33,4.37,1.74,227,208,210
7359,3k,take,164,4.37,1.89,1347,1036,1013
19,3k,age,1,4.38,1.36,29,62,91
2255,3k,first,138,4.388713,1.31,745,994,1181
2451,3k,for,1177,4.388713,1.97,5851,5615,6423
3233,3k,hers,1,4.388713,1.48,10,15,12
3117,3k,hard,76,4.39,2.15,573,581,543
6959,3k,stand,41,4.39,1.79,228,198,201
3484,lcnl,it,1687,4.39937,1.95,12605,11006,11906
3624,3k,juice,11,4.4,2.21,13,29,33
8251,3k,wheel,8,4.4,2.09,37,67,80
692,3k,bring,34,4.42,2.46,171,175,190
1207,3k,clock,16,4.42,1.46,112,67,60
3663,3k,keep,67,4.42,2.04,496,530,579
3745,3k,knee,8,4.42,2.52,14,23,24
4009,cdi,lion,54,4.42,1.74,225,109,74
4299,3k,meat,11,4.42,1.57,50,93,103
5380,3k,queen,29,4.42,1.57,66,58,51
7385,3k,tape,1,4.42,1.43,51,27,15
7587,3k,thumb,18,4.42,2.36,15,19,13
7856,3k,truth,10,4.42,2.06,20,41,42
8412,3k,word,25,4.42,1.74,228,276,311
1578,3k,cut,32,4.43,1.72,316,241,205
2373,3k,floor,56,4.44,1.98,246,227,250
3908,3k,learn,15,4.44,1.42,192,256,269
6914,cdi,squirrel,6,4.44,1.92,105,34,19
7069,3k,stone,19,4.44,1.2,115,110,115
2545,3k,from,370,4.441998,2.24,2044,2639,3623
3433,3k,hush,20,4.441998,1.88,6,13,8
8382,3k,with,1127,4.441998,1.59,4181,4111,5084
762,3k,build,28,4.45,1.57,41,100,96
4792,3k,paint,15,4.45,1.32,225,66,54
954,3k,chalk,5,4.47,1.17,6,7,11
2745,3k,glass,19,4.47,1.65,97,111,115
3251,3k,hide,24,4.47,2.14,178,83,68
4825,3k,park,20,4.47,1.87,231,126,104
5667,3k,roll,11,4.47,2.12,71,59,47
5745,3k,run,100,4.47,1.9,734,399,322
6092,3k,shape,6,4.47,1.87,53,75,86
6301,3k,sink,9,4.47,2.04,29,32,28
7689,3k,tongue,14,4.47,2.87,21,38,44
7770,3k,trash,19,4.47,1.78,16,17,21
6350,3k,skin,7,4.48,1.69,62,75,90
5157,3k,pop,29,4.484626,1.59,38,40,23
7913,3k,twelve,9,4.484626,1.1,24,41,57
190,3k,barn,20,4.5,1.62,50,81,79
1221,3k,close,38,4.5,1.82,206,269,251
1973,3k,dumb,5,4.5,1.5,28,27,21
3773,3k,know,257,4.5,2.12,2010,1924,1730
4646,3k,noise,49,4.5,2.2,213,157,111
7963,3k,use,38,4.5,1.82,436,474,666
8392,3k,wolf,43,4.5,1.79,247,81,39
2269,3k,five,59,4.50594,1.36,168,226,224
8571,lcnl,yours,9,4.50594,2.12,48,60,48
2555,3k,frown,3,4.52,1.69,8,11,9
773,3k,bull,15,4.53,2.29,25,15,22
1722,3k,die,10,4.53,1.78,44,93,62
3953,3k,let,119,4.53,2.09,919,662,613
4981,3k,pin,8,4.53,1.39,22,10,15
5613,3k,ring,29,4.53,1.87,102,90,76
7289,3k,sweet,45,4.53,2.46,35,63,64
8083,3k,wag,1,4.53,1.9,3,3,1
